0,,,ALNS++,WFI,LOG-UFPB,Vavavuma!,HustSmart,Alkaid-X,WouterCo
131,C1_2_9,PI,0.69544953,0.002268229,0.001826285,0.013063606,0.001453422,0.001227612,0.001396988
132,2639.6,Best sol.,2639.6,2639.6,2639.6,2639.6,2639.6,2639.6,2639.6
133,C2_2_10,PI,0.619667799,0.007994732,0.002457261,0.001775279,0.003100443,0.005976219,0.001399516
134,1791.2,Best sol.,1791.2,1791.2,1791.2,1791.2,1791.2,1791.2,1791.2
135,C2_2_1,PI,0.573065876,0.001233961,0.00786203,0.000994618,0.000810151,0.000600428,0.000195878
136,1922.1,Best sol.,1922.1,1922.1,1922.1,1922.1,1922.1,1922.1,1922.1
137,C2_2_2,PI,0.582212428,0.003970121,0.162657579,0.003578976,0.00095004,0.002191869,0.00269571
138,1851.4,Best sol.,1851.4,1851.4,1851.4,1851.4,1851.4,1851.4,1851.4
139,C2_2_3,PI,0.859121265,0.012809937,0.992892414,0.004951805,0.009370224,0.017139315,0.002514631
140,1763.4,Best sol.,1767.7,1763.4,1780.6,1763.4,1763.4,1763.4,1763.4
141,C2_2_4,PI,0.871387289,0.219498338,0.71406963,0.007025572,0.026601141,0.087404736,0.006498922
142,1695,Best sol.,1706.4,1695,1706.7,1695,1695,1695.9,1695
143,C2_2_5,PI,0.145804476,0.00563394,0.008510538,0.016675179,0.001736327,0.005347643,0.001593677
144,1869.6,Best sol.,1869.6,1869.6,1869.6,1869.6,1869.6,1869.6,1869.6
145,C2_2_6,PI,0.211372249,0.003042241,0.009848065,0.001194158,0.000789518,0.001541606,0.00157891
146,1844.8,Best sol.,1844.8,1844.8,1844.8,1844.8,1844.8,1844.8,1844.8
147,C2_2_7,PI,0.289798998,0.006870135,0.011989005,0.002188607,0.000414146,0.001022958,0.040657145
148,1842.2,Best sol.,1842.2,1842.2,1842.2,1842.2,1842.2,1842.2,1842.9
149,C2_2_8,PI,0.321064719,0.008322353,0.027714464,0.232861043,0.011825825,0.001822827,0.001424288
150,1813.7,Best sol.,1813.7,1813.7,1813.7,1817.9,1813.7,1813.7,1813.7
151,C2_2_9,PI,0.454962339,0.00774142,0.002182397,0.005401579,0.003145644,0.001971224,0.001115145
