12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC1_8_2
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3635 secs
Base solution: 31199.630
BKS: 28363.3
Optimal: 0
Wed 26 Jan 2022 11:41:45 PM CST
timestamp: 1643211705
Solution value, local machine time, standardized time
29242.5 527.371 522.361
29233.6 542.341 537.189
29233.1 542.342 537.190
29232.0 542.343 537.191
29231.6 542.344 537.192
29228.4 557.999 552.698
29226.8 558.000 552.699
29226.2 578.876 573.377
29223.7 608.379 602.599
29222.2 608.380 602.600
29221.6 608.381 602.601
29220.8 608.382 602.602
29218.2 608.383 602.603
29214.3 608.384 602.604
29211.8 608.519 602.738
29208.6 608.520 602.739
29208.2 608.521 602.740
29208.1 608.521 602.740
29207.2 608.522 602.741
29206.9 608.540 602.759
29206.6 608.583 602.801
29206.1 608.583 602.801
29202.2 608.584 602.802
29201.8 608.585 602.803
29198.7 608.763 602.980
29197.9 608.764 602.981
29197.5 608.938 603.153
29194.3 609.001 603.215
29193.4 609.002 603.216
29183.4 609.003 603.217
29182.1 609.004 603.218
29181.1 609.005 603.219
29178.9 609.006 603.220
29176.2 609.144 603.357
29175.6 609.145 603.358
29175.5 609.265 603.477
29174.7 609.497 603.707
29171.0 609.631 603.840
29155.1 609.807 604.014
29152.3 609.809 604.016
29152.0 609.810 604.017
29138.4 609.811 604.018
29137.3 609.812 604.019
29136.9 609.859 604.065
29136.6 609.860 604.066
29135.8 609.875 604.081
29133.6 609.965 604.170
29130.7 610.073 604.277
29126.4 610.074 604.278
29126.0 610.273 604.475
29125.7 610.274 604.476
29125.2 610.661 604.860
29124.7 610.790 604.987
29119.6 611.290 605.483
29115.9 611.437 605.628
29114.9 611.636 605.825
29114.4 611.891 606.078
29113.5 611.979 606.165
29112.8 611.981 606.167
29108.9 612.232 606.416
29108.8 612.874 607.052
